URL;User ID
http://www.mk.ru,UA-
http://www.mk.ru,UA-2395626
http://www.mpress.ge,nothing found
http://www.mpress.ge,UA-
http://www.mpress.ge,UA-69910655
http://www.msk.kp.ru,UA-
http://www.msk.kp.ru,nothing found
http://www.mixednews.ru,UA-48730238
http://www.mundo.sputniknews.com,URL not valid
http://www.my-disain.ru,nothing found
http://www.my-disain.ru,nothing found
http://www.myinforms.com,nothing found
http://www.myinforms.com,UA-49879153
http://www.myvideo.ge,nothing found
http://www.myvideo.ge,UA-279341
http://www.nahnews.org,URL not valid
http://www.nashpoz.ru,nothing found
http://www.nashpoz.ru,UA-26297990
http://www.nation-news.ru,nothing found
http://www.nation-news.ru,UA-65088212
http://www.nato.int,nothing found
http://www.nato.int,UA-
http://www.nato.int,nothing found
http://www.nbm.md,nothing found
http://www.nbm.md,nothing found
